,v_fabricante,v_producto,v_cadena_busqueda,aux.matches.ip_str,aux.matches.isp,aux.matches.location.city,aux.matches.location.longitude,aux.matches.location.latitude,aux.matches.location.country_name,aux.matches.location.country_code3,aux.matches.os,aux.matches.org,aux.matches.asn
1,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,181.188.181.213,Telefónica Celular de Bolivia S.A.,La Paz,-68.15,-16.5,Bolivia,BOL,NA,Telefónica Celular de Bolivia S.A.,AS27882
2,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,64.146.178.16,Northwest Open Access Network,Prescott,-118.4739,46.3531,United States,USA,NA,Northwest Open Access Network,AS16713
3,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,67.43.216.130,Vistabeam,Wray,-102.2519,40.0858,United States,USA,NA,Vistabeam,AS394883
4,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,186.151.254.244,Claro Guatemala Static IP,Guatemala City,-90.5269,14.6211,Guatemala,GTM,NA,Claro Guatemala Static IP,AS14754
5,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,67.43.216.130,Vistabeam,Wray,-102.2519,40.0858,United States,USA,NA,Vistabeam,AS394883
6,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,67.43.216.130,Vistabeam,Wray,-102.2519,40.0858,United States,USA,NA,Vistabeam,AS394883
7,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,67.43.216.130,Vistabeam,Wray,-102.2519,40.0858,United States,USA,NA,Vistabeam,AS394883
8,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,212.52.154.132,ONATEL (Office National des Telecommunications, PT,NA,-2,13,Burkina Faso,BFA,NA,ONATEL (Office National des Telecommunications, PT,AS25543
9,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,67.43.216.130,Vistabeam,Wray,-102.2519,40.0858,United States,USA,NA,Vistabeam,AS394883
10,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,190.181.62.52,AXS Bolivia S. A.,La Paz,-68.15,-16.5,Bolivia,BOL,NA,AXS Bolivia S. A.,AS26210
11,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,174.131.76.214,Windstream Communications,Hilliard,-81.7628,30.6751,United States,USA,NA,Windstream Communications,AS7029
12,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,99.30.71.73,AT&T Internet Services,NA,-97.822,37.751,United States,USA,NA,AT&T Internet Services,AS7018
13,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,190.52.49.2,Telefónica Celular de Bolivia S.A.,Sucre,-65.2592,-19.0431,Bolivia,BOL,NA,Cotes_adsl_sector1,AS27882
14,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,79.129.15.3,OTEnet S.A.,Athens,23.7333,37.9833,Greece,GRC,NA,OTEnet S.A.,AS6799
15,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,200.87.167.28,Entel S.A. - EntelNet,La Paz,-68.15,-16.5,Bolivia,BOL,NA,Entel S.A. - EntelNet,AS6568
16,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,67.43.216.130,Vistabeam,Wray,-102.2519,40.0858,United States,USA,NA,Vistabeam,AS394883
17,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,89.115.241.138,Vodafone Portugal,Pevidem,-8.35740000000001,41.4294,Portugal,PRT,NA,Vodafone Portugal,AS12353
18,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,68.233.205.99,TPx Communications,Los Angeles,-118.2549,34.0533,United States,USA,NA,TPx Communications,AS14265
19,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,190.186.91.141,COTAS,NA,-65,-17,Bolivia,BOL,NA,COTAS,AS25620
20,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,67.43.216.130,Vistabeam,Wray,-102.2519,40.0858,United States,USA,NA,Vistabeam,AS394883
21,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,67.43.216.130,Vistabeam,Wray,-102.2519,40.0858,United States,USA,NA,Vistabeam,AS394883
22,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,2.139.248.145,Telefonica de Espana Static IP,Barcelona,2.17410000000001,41.3984,Spain,ESP,NA,Telefonica de Espana Static IP,AS3352
23,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,67.43.216.130,Vistabeam,Wray,-102.2519,40.0858,United States,USA,NA,Vistabeam,AS394883
24,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,123.176.31.195,Dhivehi Raajjeyge Gulhun (DHIRAAGU),Male,73.5,4.16669999999999,Maldives,MDV,NA,Dhivehi Raajjeyge Gulhun (DHIRAAGU),AS7642
25,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,67.43.216.130,Vistabeam,Wray,-102.2519,40.0858,United States,USA,NA,Vistabeam,AS394883
26,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,190.129.32.53,Entel S.A. - EntelNet,La Paz,-68.15,-16.5,Bolivia,BOL,NA,Entel S.A. - EntelNet,AS6568
27,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,67.43.216.130,Vistabeam,Wray,-102.2519,40.0858,United States,USA,NA,Vistabeam,AS394883
28,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,103.29.168.22,Lateral Plains Pty,NA,143.2104,-33.494,Australia,AUS,NA,Lateral Plains Pty,AS131999
29,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,196.0.33.174,Uganda Telecom,NA,32,1,Uganda,UGA,NA,Uganda Telecom,AS21491
30,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,85.139.241.170,Nos Comunicacoes, S.A.,Montijo,-8.97389999999999,38.7067,Portugal,PRT,NA,ZON Tv Cabo,AS2860
31,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,67.43.216.130,Vistabeam,Wray,-102.2519,40.0858,United States,USA,NA,Vistabeam,AS394883
32,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,200.87.128.214,Entel S.A. - EntelNet,La Paz,-68.15,-16.5,Bolivia,BOL,NA,Entel S.A. - EntelNet,AS6568
33,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,190.148.193.227,Claro Guatemala Static IP,Guatemala City,-90.5269,14.6211,Guatemala,GTM,NA,Claro Guatemala Static IP,AS14754
34,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,203.48.138.5,Telstra Internet,Macquarie,149.0636,-35.2513,Australia,AUS,NA,Telstra Internet,AS1221
35,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,67.43.216.130,Vistabeam,Wray,-102.2519,40.0858,United States,USA,NA,Vistabeam,AS394883
36,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,84.254.20.130,Wind Hellas Telecommunications SA,Thessaloníki,22.9439,40.6403,Greece,GRC,NA,Tellas S.A.,AS25472
37,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,67.43.216.130,Vistabeam,Wray,-102.2519,40.0858,United States,USA,NA,Vistabeam,AS394883
38,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,67.43.216.130,Vistabeam,Wray,-102.2519,40.0858,United States,USA,NA,Vistabeam,AS394883
